district_id,name,wards
54,Gaumukhi,7
55,Rolpa,10
55,Runtigadi,9
55,Triveni,7
55,Sunil Smiriti,8
55,Lungri,7
55,Sunchhahari,7
55,Thawang,5
55,Madi,6
55,GangaDev,7
55,Pariwartan,6
56,Putha Uttarganga,14
56,Bhume,9
56,Sisne,8
57,Nepalgunj,23
57,Kohalpur,15
57,Rapti-Sonari,9
57,Narainapur,6
57,Duduwa,6
57,Janaki,6
57,Khajura,8
57,Baijanath,8
58,Gulariya,12
58,Rajapur,10
58,Madhuwan,9
58,Thakurbaba,9
58,Basgadhi,9
58,Barbardiya,11
58,Badhaiyatal,9
58,Geruwa,6
59,Aathabiskot,14
59,Musikot,14
59,Chaurjahari,14
59,SaniBheri,11
59,Triveni,10
59,Banphikot,10
60,Kumakh,7
60,Kalimati,7
60,Chhatreshwari,7
60,Darma,6
60,Kapurkot,6
60,Triveni,6
60,Siddha Kumakh,5
60,Bagchaur,12
60,Shaarda,15
60,Bangad Kupinde,12
61,Mudkechula,9
61,Kaike,7
61,She Phoksundo,9
61,Jagadulla,6
61,Dolpo Buddha,6
61,Chharka Tongsong,6
61,Thuli Bheri,11
61,Tripurasundari,11
62,Simkot,8
62,Sarkegad,8
62,Adanchuli,6
62,Kharpunath,5
62,Tanjakot,5
62,Chankheli,6
62,Namkha,6
63,Tatopani,8
63,Patarasi,7
63,Tila,9
63,Kanaka Sundari,8
63,Sinja,6
63,Hima,7
63,Guthichaur,5
63,Chandannath,10
64,Khandachakra,11
64,Raskot,9
64,Tilagufa,11
64,Narharinath,9
64,Palata,9
64,Shubha Kalika,8
64,Sanni Triveni,9
64,Pachaljharana,9
64,Mahawai,7
65,Khatyad,11
65,Soru,11
65,Mugum Karmarong,9
65,Chhayanath Rara,14
66,Simta,9
66,Barahatal,10
66,Chaukune,10
66,Chingad,6
66,Gurbhakot,14
66,Birendranagar,16
66,Bheriganga,13
66,Panchapuri,11
66,Lekbeshi,10
67,Dullu,13
67,Gurans,8
67,Bhairabi,7
67,Naumule,8
67,Mahabu,6
67,Thantikandh,6
67,Bhagawatimai,7
67,Dungeshwar,6
67,Aathabis,9
67,Narayan,11
